Emirate_Ar,Emirate_En,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),Measurement_unit_Ar,Measurement_unit_En,اسم المحطة,Station Name,نوع موقع المحطة ,Type of Location ,Year,Value
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,شارع حمدان,Hamdan Street,جانب الطريق,Traffic,2013,107
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة خديجة,Khadejah School,وسط المدينة ,Down Town,2013,133
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة خليفة,Khalifa School,حضرية/ سكنية,Urban/Residential,2013,139
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,المقطع,Al Maqta,حضرية/ سكنية,Urban/Residential,2013,124
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدينة خليفة أ,Khalifa City A, حضرية/ سكنية,Urban/Residential,2013,142
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة بني ياس,Baniyas School,حضرية/ سكنية,Urban/Residential,2013,147
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مصفح,Mussafah ,صناعية  ,Industrial,2013,164
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,المفرق,Al Mafraq,صناعية,Industrial,2013,195
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³, شارع العين,Al Ain Street,جانب الطريق,Traffic,2013,155
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة العين,Al Ain Islamic Institute,حضرية/ سكنية,Urban/Residential,2013,115
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الطوية,Al Tawia,حضرية/ سكنية,Urban/Residential,2013,130
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,زاخر,Zakher , حضرية/ سكنية,Urban/Residential,2013,79
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,سويحان,Sweihan,حضرية/ سكنية,Urban/Residential,2013,137
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,القوع,Al Qua'a,ريفية/ سكنية,Residential,2013,146
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,طريق أبوظبي - طريف السريع,Abu Dhabi- Tarif Road,جانب الطريق,Traffic,2013,-
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³, بدع زايد,Bida Zayed ,حضرية/ سكنية,Urban/Residential,2013,146
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,حبشان,Habshan South ,ريفية/ سكنية,Residential,2013,147
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,الرويس,Ruwais ,صناعية  ,Industrial,2013,-
أبوظبي,Abu Dhabi  ,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون),Inhalable Particulate Matter Concentration  (PM-10),ميكروجرام/متر مكعب, µg/m³,مدرسة غياثي,Gayathi School,وسط المدينة,Down Town,2013,145
