Emirate_Ar,Emirate_En,Year,اسم المحطة,Type of Location ,نوع موقع المحطة ,Station Name,Month_Ar,Month_En,Category_Type_Ar,Category_Type_En,Value,,,,,,,,,,,,,,,,,
دبي,Dubai,2016,ديره,Residential- ommercial,سكنية-تجارية,Deira,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
دبي,Dubai,2016,تلال الإمارات,Residential,سكنية,Emirates Hills,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),27,,,,,,,,,,,,,,,,,
دبي,Dubai,2016,شارع الشيخ زايد,Traffic,جانب الطريق,Shk. Zayed Road,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),-,,,,,,,,,,,,,,,,,
دبي,Dubai,2016,شارع الشيخ محمد بن زايد,Traffic,جانب الطريق,Sheikh Mohd. Bin Zayed Rd.,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),33,,,,,,,,,,,,,,,,,
الشارقة,Sharjah,2016,الحمرية,Industrial ,صناعية ,Al hummariah,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),85,,,,,,,,,,,,,,,,,
الشارقة,Sharjah,2016,كلباء,Residential,سكنية,Kalba,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),107,,,,,,,,,,,,,,,,,
عجمان ,Ajman,2016,مشيرف,Residential,سكنية ,Musharif,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),88,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2016,الجير,Residential,سكنية ,Al Jeer,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),77,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2016,البريرات,Residential,سكنية ,Al Burairat,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),77,,,,,,,,,,,,,,,,,
رأس الخيمة ,Ras Al-Khaimah ,2016,القاسمية,Residential,سكنية ,AL Qasmiah,يناير ,Jan.,ركيز الجسيمات القابلة للاستنشاق (قطرها أقل من 10 ميكرون) (ميكروجرام/متر مكعب),Inhalable Particulate Matter Concentration  (PM-10) (µg/m³  ),87,,,,,,,,,,,,,,,,,
